Time,Price,Quantity,IsMarketMaker,NumTrades,M
2025-03-16 00:00:50.911235641 +0530 IST,613.94000000,0.15200000,true,1,true
2025-03-16 00:00:50.995278597 +0530 IST,613.90000000,0.81400000,true,1,true
2025-03-16 00:00:50.995311338 +0530 IST,613.89000000,4.15600000,true,2,true
2025-03-16 00:00:51.00361806 +0530 IST,613.88000000,5.25500000,true,2,true
2025-03-16 00:00:51.013777999 +0530 IST,613.88000000,0.48000000,true,1,true
2025-03-16 00:00:51.023729626 +0530 IST,613.87000000,2.20500000,true,1,true
2025-03-16 00:00:51.033397929 +0530 IST,613.87000000,0.24500000,true,1,true
2025-03-16 00:00:51.04385302 +0530 IST,613.86000000,0.23500000,false,1,true
2025-03-16 00:00:51.106342162 +0530 IST,613.80000000,0.81400000,true,1,true
2025-03-16 00:00:51.106387653 +0530 IST,613.79000000,3.75900000,true,1,true
2025-03-16 00:00:51.113716808 +0530 IST,613.79000000,3.42800000,true,1,true
2025-03-16 00:00:51.123678951 +0530 IST,613.79000000,6.58300000,true,1,true
2025-03-16 00:00:51.134254883 +0530 IST,613.78000000,36.34300000,true,1,true
2025-03-16 00:00:51.143617227 +0530 IST,613.78000000,0.68100000,true,1,true
2025-03-16 00:00:51.154168399 +0530 IST,613.77000000,0.01100000,true,1,true
2025-03-16 00:00:51.163710476 +0530 IST,613.76000000,0.04800000,true,1,true
2025-03-16 00:00:51.329248216 +0530 IST,613.82000000,1.86200000,false,3,true
2025-03-16 00:00:51.331265232 +0530 IST,613.84000000,0.90800000,false,1,true
2025-03-16 00:00:51.334233835 +0530 IST,613.85000000,2.11800000,false,1,true
2025-03-16 00:00:51.343643829 +0530 IST,613.85000000,0.90800000,false,1,true
2025-03-16 00:00:52.292433237 +0530 IST,613.83000000,0.24800000,false,1,true
2025-03-16 00:00:52.292455157 +0530 IST,613.84000000,0.80000000,false,1,true
2025-03-16 00:00:52.294167075 +0530 IST,613.89000000,1.86000000,false,1,true
2025-03-16 00:00:52.308168657 +0530 IST,613.91000000,21.12700000,false,2,true
2025-03-16 00:00:54.040356806 +0530 IST,613.96000000,0.35900000,false,3,true
2025-03-16 00:00:54.351536036 +0530 IST,613.97000000,9.69300000,false,2,true
2025-03-16 00:00:54.351566742 +0530 IST,613.97000000,3.17100000,false,1,true
2025-03-16 00:00:54.354397259 +0530 IST,613.97000000,0.06100000,false,1,true
2025-03-16 00:00:54.363861129 +0530 IST,613.99000000,1.55200000,false,1,true
2025-03-16 00:00:54.374051434 +0530 IST,614.00000000,1.67600000,false,3,true
2025-03-16 00:00:54.383624015 +0530 IST,614.04000000,0.59900000,false,1,true
2025-03-16 00:00:54.393441926 +0530 IST,614.05000000,0.40100000,false,1,true
2025-03-16 00:00:58.498360157 +0530 IST,613.95000000,0.09400000,true,1,true
2025-03-16 00:00:59.82331505 +0530 IST,614.03000000,0.01500000,false,1,true
2025-03-16 00:01:00.147367407 +0530 IST,613.93000000,0.26000000,true,2,true
