Time,Price,Quantity,IsMarketMaker,NumTrades,M
2025-03-15 00:00:02.520151164 +0530 IST,585.71000000,1.07300000,true,1,true
2025-03-15 00:00:02.593226271 +0530 IST,585.71000000,1.07300000,true,1,true
2025-03-15 00:00:02.695146961 +0530 IST,585.71000000,0.39800000,true,1,true
2025-03-15 00:00:02.849171224 +0530 IST,585.66000000,0.41000000,true,1,true
2025-03-15 00:00:02.903159373 +0530 IST,585.68000000,1.07300000,false,1,true
2025-03-15 00:00:03.582138151 +0530 IST,585.65000000,0.52700000,true,1,true
2025-03-15 00:00:04.764050413 +0530 IST,585.68000000,1.07300000,false,1,true
2025-03-15 00:00:05.364145049 +0530 IST,585.65000000,0.52700000,true,1,true
2025-03-15 00:00:05.367261259 +0530 IST,585.65000000,0.54600000,false,1,true
2025-03-15 00:00:07.079071216 +0530 IST,585.65000000,0.33200000,false,1,true
2025-03-15 00:00:08.259062402 +0530 IST,585.63000000,0.53100000,true,1,true
2025-03-15 00:00:08.266167473 +0530 IST,585.63000000,0.54200000,false,1,true
2025-03-15 00:00:08.343260635 +0530 IST,585.63000000,0.54200000,false,1,true
2025-03-15 00:00:08.411102067 +0530 IST,585.61000000,0.01300000,true,1,true
2025-03-15 00:00:08.413036084 +0530 IST,585.60000000,1.99400000,true,1,true
2025-03-15 00:00:08.421234705 +0530 IST,585.59000000,0.39000000,false,1,true
2025-03-15 00:00:09.063155716 +0530 IST,585.57000000,0.53500000,true,1,true
2025-03-15 00:00:09.071084976 +0530 IST,585.57000000,0.53500000,true,1,true
2025-03-15 00:00:09.081196845 +0530 IST,585.57000000,0.53800000,false,1,true
2025-03-15 00:00:09.086040758 +0530 IST,585.57000000,0.53500000,true,1,true
2025-03-15 00:00:09.321286136 +0530 IST,585.56000000,0.01300000,true,1,true
2025-03-15 00:00:09.321299941 +0530 IST,585.55000000,0.01300000,true,1,true
2025-03-15 00:00:09.331348802 +0530 IST,585.54000000,2.33000000,true,1,true
2025-03-15 00:00:09.341653344 +0530 IST,585.53000000,2.82900000,true,1,true
2025-03-15 00:00:09.351378109 +0530 IST,585.53000000,2.26400000,true,1,true
2025-03-15 00:00:09.375149298 +0530 IST,585.51000000,1.70600000,true,1,true
2025-03-15 00:00:09.37620036 +0530 IST,585.51000000,0.01500000,true,1,true
2025-03-15 00:00:09.381378269 +0530 IST,585.51000000,0.01500000,true,1,true
2025-03-15 00:00:09.391380241 +0530 IST,585.51000000,0.01500000,true,1,true
2025-03-15 00:00:09.40147079 +0530 IST,585.51000000,0.01100000,true,1,true
2025-03-15 00:00:09.411039527 +0530 IST,585.51000000,0.01500000,true,1,true
2025-03-15 00:00:09.421510004 +0530 IST,585.51000000,0.02100000,true,1,true
2025-03-15 00:00:09.431205079 +0530 IST,585.51000000,0.02100000,true,1,true
2025-03-15 00:00:09.440703022 +0530 IST,585.51000000,0.01800000,true,1,true
2025-03-15 00:00:09.45123935 +0530 IST,585.51000000,0.02100000,true,1,true
2025-03-15 00:00:09.460702874 +0530 IST,585.51000000,0.02100000,true,1,true
2025-03-15 00:00:09.471239742 +0530 IST,585.51000000,1.07300000,false,1,true
2025-03-15 00:00:09.480728117 +0530 IST,585.50000000,0.08400000,true,1,true
2025-03-15 00:00:09.4914098 +0530 IST,585.50000000,0.08400000,true,1,true
2025-03-15 00:00:09.501325076 +0530 IST,585.50000000,0.08400000,true,1,true
2025-03-15 00:00:09.51138941 +0530 IST,585.50000000,0.08100000,true,1,true
2025-03-15 00:00:09.520965905 +0530 IST,585.50000000,0.08400000,true,1,true
2025-03-15 00:00:09.531654941 +0530 IST,585.50000000,0.01300000,true,1,true
2025-03-15 00:00:09.540692727 +0530 IST,585.50000000,0.00900000,true,1,true
2025-03-15 00:00:09.551241936 +0530 IST,585.50000000,0.00900000,true,1,true
2025-03-15 00:00:09.560766519 +0530 IST,585.50000000,0.00900000,true,1,true
2025-03-15 00:00:09.571295698 +0530 IST,585.50000000,2.96500000,true,4,true
2025-03-15 00:00:09.580802975 +0530 IST,585.49000000,0.01600000,true,1,true
2025-03-15 00:00:09.590696287 +0530 IST,585.49000000,0.01600000,true,1,true
2025-03-15 00:00:09.601697888 +0530 IST,585.49000000,0.01600000,true,1,true
2025-03-15 00:00:09.611320398 +0530 IST,585.49000000,0.01200000,true,1,true
2025-03-15 00:00:09.621283459 +0530 IST,585.49000000,0.01600000,true,1,true
2025-03-15 00:00:09.631413014 +0530 IST,585.49000000,3.01600000,true,2,true
2025-03-15 00:00:09.640949226 +0530 IST,585.49000000,0.40300000,true,1,true
2025-03-15 00:00:09.651539405 +0530 IST,585.48000000,0.43100000,true,1,true
2025-03-15 00:00:09.661098612 +0530 IST,585.47000000,0.07100000,true,1,true
